word	frequency
the	0.054484632
of	0.027390094
and	0.02697683
to	0.024106355
a	0.022227356
in	0.018520022
i	0.015697869
that	0.015341811
it	0.011540229
is	0.010319069
for	0.00925004
you	0.008098856
was	0.007158769
with	0.006808983
on	0.006438534
as	0.005659467
have	0.005319336
but	0.005217283
be	0.004911576
they	0.0048300056
are	0.0048158844
at	0.004563008
by	0.0044716476
he	0.0044529694
not	0.00439486
this	0.004370497
we	0.0042975442
or	0.00424936
do	0.0040254937
from	0.0040022135
an	0.0033424792
so	0.0033028221
uh	0.003241058
were	0.0031363885
know	0.0031053035
like	0.0028626234
all	0.0028281996
there	0.0027764966
his	0.0026913623
about	0.0026758423
if	0.0025930991
has	0.0025913846
what	0.0025293499
just	0.0025279513
yeah	0.002462984
my	0.0024131758
had	0.002374827
would	0.0023411252
more	0.0022895574
when	0.0021378766
can	0.002125289
who	0.0020974525
out	0.0020431324
which	0.0020384856
said	0.0020097014
their	0.001997475
no	0.0019556072
she	0.001891858
up	0.0018759319
been	0.0018736761
think	0.0018568026
well	0.0018376282
than	0.0017085507
some	0.0017081898
will	0.0017079192
because	0.0016905043
other	0.0016825638
did	0.0016360941
new	0.0016166039
me	0.0016082574
time	0.001568104
her	0.0015168971
them	0.0015076032
also	0.0014859474
people	0.001485406
get	0.00143456
right	0.0014250856
these	0.0013865564
its	0.0013814582
now	0.0013732922
then	0.0013454104
could	0.0013418462
only	0.0013160397
um	0.0013111671
really	0.001306836
into	0.0012835109
how	0.0012332515
see	0.0012046478
your	0.0011748261
oh	0.0011492
most	0.001122807
good	0.0011029559
after	0.0010878871
even	0.0010827889
much	0.0010677653
our	0.0010673592
here	0.0010561704
where	0.001049042
over	0.0010322137
him	0.0010308602
may	0.0010205286
does	0.0010143026
go	0.001006317
any	9.908873E-4
first	9.634566E-4
years	9.295743E-4
way	9.27138E-4
those	9.175283E-4
too	9.17032E-4
very	9.011511E-4
many	8.826986E-4
going	8.804428E-4
should	8.5418514E-4
such	8.295517E-4
got	8.2892005E-4
used	8.2855916E-4
year	8.276568E-4
work	8.210247E-4
make	8.1822753E-4
say	8.0189545E-4
back	7.92782E-4
last	7.92015E-4
little	7.7234436E-4
still	7.6539646E-4
between	7.502374E-4
something	7.341309E-4
mean	7.322811E-4
both	7.2754396E-4
uh-huh	7.176635E-4
each	7.0918165E-4
lot	7.048956E-4
before	7.032263E-4
being	6.893305E-4
um-hum	6.847738E-4
same	6.764724E-4
through	6.741715E-4
thing	6.667724E-4
want	6.661859E-4
use	6.609073E-4
while	6.605915E-4
times	6.5995986E-4
down	6.551776E-4
things	6.538692E-4
take	6.4367295E-4
cells	6.3514593E-4
made	6.2472414E-4
off	6.236864E-4
day	6.185432E-4
kind	6.166934E-4
data	6.166483E-4
us	6.100162E-4
never	5.987823E-4
since	5.866009E-4
might	5.790665E-4
okay	5.702237E-4
world	5.636819E-4
another	5.5407215E-4
different	5.5384653E-4
using	5.4938E-4
around	5.479363E-4
why	5.4513913E-4
ca	5.354842E-4
house	5.352587E-4
need	5.116178E-4
though	5.1044475E-4
long	5.0818897E-4
says	5.03948E-4
during	4.952406E-4
number	4.9411267E-4
part	4.938871E-4
home	4.913606E-4
state	4.912704E-4
life	4.8111923E-4
big	4.7805134E-4
come	4.7308856E-4
york	4.7191553E-4
found	4.705169E-4
american	4.6532854E-4
under	4.6429088E-4
information	4.607267E-4
president	4.604109E-4
however	4.5716253E-4
own	4.5535786E-4
percent	4.531472E-4
every	4.5269603E-4
probably	4.4917697E-4
high	4.4561276E-4
study	4.4200348E-4
always	4.3744675E-4
story	4.345593E-4
better	4.323035E-4
thought	4.2995744E-4
few	4.2973188E-4
look	4.2941605E-4
less	4.2887466E-4
against	4.2801746E-4
government	4.2774677E-4
show	4.269798E-4
end	4.250849E-4
find	4.2458862E-4
actually	4.2427282E-4
great	4.234156E-4
family	4.228742E-4
put	4.2242304E-4
point	4.1949048E-4
old	4.1912956E-4
sure	4.164677E-4
news	4.1637747E-4
money	4.1547514E-4
clinton	4.1538491E-4
states	4.1037702E-4
week	4.087077E-4
least	4.0803096E-4
school	4.0735424E-4
genes	4.0658726E-4
real	3.9932356E-4
figure	3.9630075E-4
case	3.9521797E-4
yes	3.941803E-4
pretty	3.9350355E-4
today	3.9210496E-4
place	3.9016496E-4
system	3.9011985E-4
without	3.8953332E-4
next	3.8822496E-4
best	3.8633007E-4
city	3.8614962E-4
children	3.8484123E-4
course	3.8402915E-4
analysis	3.8159286E-4
am	3.7960775E-4
expression	3.7640453E-4
cell	3.75818E-4
group	3.7505102E-4
set	3.7392313E-4
again	3.7193802E-4
called	3.7189288E-4
public	3.6959196E-4
small	3.6882499E-4
gene	3.6530592E-4
let	3.6377198E-4
ever	3.632306E-4
went	3.6219292E-4
whether	3.607943E-4
must	3.5596688E-4
maybe	3.5533524E-4
results	3.5506455E-4
company	3.5501944E-4
once	3.541622E-4
guess	3.537562E-4
although	3.5267338E-4
days	3.5258316E-4
anything	3.5150038E-4
either	3.5077851E-4
second	3.5050782E-4
several	3.4987618E-4
women	3.4816176E-4
book	3.4748504E-4
national	3.473948E-4
control	3.4698876E-4
doing	3.459962E-4
enough	3.4559015E-4
fact	3.4396595E-4
having	3.4283806E-4
love	3.4013108E-4
human	3.3859714E-4
until	3.3751436E-4
far	3.3728877E-4
man	3.365218E-4
patients	3.3304785E-4
service	3.326869E-4
important	3.287618E-4
among	3.2722784E-4
united	3.226711E-4
care	3.2240042E-4
bad	3.207311E-4
name	3.1942275E-4
help	3.181595E-4
away	3.1635485E-4
done	3.156781E-4
including	3.1396368E-4
read	3.131967E-4
feel	3.1292601E-4
getting	3.1265532E-4
program	3.1256507E-4
yet	3.115725E-4
white	3.115274E-4
give	3.112567E-4
business	3.1008368E-4
report	3.0994834E-4
stuff	3.0913626E-4
country	3.0715115E-4
example	3.0584275E-4
whole	3.0548184E-4
seems	3.0512092E-4
problem	3.0439906E-4
seen	3.040381E-4
early	2.9623302E-4
within	2.9569163E-4
makes	2.942028E-4
ago	2.936614E-4
came	2.9293954E-4
often	2.8991673E-4
left	2.8969118E-4
federal	2.854051E-4
general	2.8454792E-4
protein	2.8378094E-4
almost	2.8129955E-4
trying	2.8102886E-4
water	2.809386E-4
given	2.806679E-4
rather	2.8012652E-4
night	2.7886327E-4
washington	2.7791582E-4
keep	2.7773538E-4
large	2.7660746E-4
change	2.7656235E-4
war	2.762014E-4
true	2.755698E-4
call	2.7516374E-4
major	2.7349446E-4
hard	2.7227632E-4
site	2.711484E-4
tell	2.7065212E-4
al	2.7047165E-4
known	2.6817073E-4
studies	2.6740375E-4
health	2.6735864E-4
someone	2.6605028E-4
law	2.6442608E-4
movie	2.642005E-4
possible	2.636591E-4
question	2.635689E-4
told	2.6203494E-4
already	2.602754E-4
making	2.5851585E-4
table	2.5774888E-4
post	2.563503E-4
area	2.561247E-4
able	2.5589913E-4
play	2.55854E-4
based	2.558089E-4
legal	2.549968E-4
took	2.5486146E-4
similar	2.545005E-4
else	2.5395912E-4
th	2.5377865E-4
office	2.5296657E-4
bush	2.527861E-4
kids	2.527861E-4
sequence	2.5152284E-4
saying	2.5075587E-4
everything	2.5039495E-4
line	2.4994378E-4
market	2.490866E-4
shown	2.4899634E-4
center	2.48861E-4
along	2.4822936E-4
later	2.4773309E-4
bit	2.4737217E-4
sort	2.455224E-4
angel	2.4349216E-4
test	2.419131E-4
become	2.4150705E-4
buffy	2.3979264E-4
idea	2.3902567E-4
pay	2.3839403E-4
person	2.371759E-4
order	2.3627357E-4
run	2.36048E-4
bill	2.3595776E-4
power	2.3460427E-4
past	2.3455916E-4
type	2.3455916E-4
security	2.3451404E-4
level	2.3397265E-4
age	2.3397265E-4
paper	2.3374707E-4
job	2.3325079E-4
levels	2.3320568E-4
car	2.3320568E-4
words	2.3311544E-4
try	2.3298009E-4
john	2.3234847E-4
support	2.3099498E-4
according	2.3067917E-4
believe	2.3045359E-4
nothing	2.3000242E-4
street	2.2995731E-4
together	2.2991218E-4
nice	2.2950614E-4
start	2.291001E-4
others	2.2860382E-4
live	2.2842335E-4
side	2.2819778E-4
word	2.2806243E-4
effect	2.2761126E-4
death	2.2679917E-4
recent	2.246336E-4
likely	2.2422755E-4
top	2.2413731E-4
men	2.2386662E-4
remember	2.2291917E-4
fig	2.2278383E-4
talk	2.224229E-4
means	2.2156569E-4
reported	2.2120475E-4
black	2.2084384E-4
hours	2.2079871E-4
working	2.202122E-4
significant	2.2012198E-4
sense	2.1998663E-4
services	2.1971593E-4
quite	2.1953546E-4
political	2.1836245E-4
cost	2.1615175E-4
guy	2.1610664E-4
months	2.1588105E-4
especially	2.1542989E-4
total	2.1475315E-4
single	2.1470802E-4
present	2.140764E-4
half	2.1312897E-4
available	2.1254245E-4
looking	2.115499E-4
history	2.1145966E-4
wanted	2.1105362E-4
companies	2.1051223E-4
young	2.101513E-4
room	2.0658711E-4
changes	2.0631641E-4
model	2.062713E-4
treatment	2.0622618E-4
season	2.0618107E-4
head	2.0595548E-4
sometimes	2.0478247E-4
research	2.0464712E-4
local	2.0410572E-4
america	2.0360944E-4
cases	2.0315828E-4
air	2.0306805E-4
department	2.0302294E-4
talking	2.0284246E-4
rate	2.015341E-4
reason	2.0094759E-4
town	1.9900758E-4
instead	1.9891736E-4
process	1.985113E-4
issue	1.9842108E-4
evidence	1.9778946E-4
free	1.971127E-4
role	1.9697736E-4
members	1.9684201E-4
across	1.9661643E-4
plan	1.9652619E-4
watch	1.962555E-4
com	1.9612015E-4
interesting	1.9593969E-4
open	1.9562387E-4
asked	1.9517272E-4
seem	1.9503736E-4
further	1.9463131E-4
additional	1.945862E-4
saw	1.9436062E-4
proteins	1.9436062E-4
activity	1.9418016E-4
increase	1.9395458E-4
current	1.934583E-4
started	1.931876E-4
problems	1.9287178E-4
described	1.9214992E-4
reports	1.920597E-4
thus	1.9201457E-4
form	1.9129271E-4
close	1.9115736E-4
dna	1.9102202E-4
low	1.9048063E-4
usually	1.901197E-4
following	1.8953318E-4
everyone	1.8935272E-4
hand	1.893076E-4
development	1.8899179E-4
provide	1.8867597E-4
music	1.8867597E-4
response	1.8858575E-4
south	1.8849551E-4
risk	1.8745784E-4
deal	1.8705179E-4
groups	1.8700668E-4
university	1.8696157E-4
former	1.8664575E-4
couple	1.8632994E-4
higher	1.8614947E-4
minutes	1.8605923E-4
shows	1.8596901E-4
anyone	1.8583366E-4
court	1.848411E-4
comes	1.8475087E-4
goes	1.8411924E-4
buy	1.8407412E-4
page	1.8393877E-4
financial	1.8380342E-4
perhaps	1.8362296E-4
english	1.8312669E-4
per	1.8272064E-4
act	1.8258528E-4
late	1.817732E-4
whose	1.8168296E-4
specific	1.8168296E-4
texas	1.8114157E-4
value	1.8091599E-4
full	1.8078064E-4
lead	1.806904E-4
team	1.806453E-4
recently	1.803746E-4
north	1.8019413E-4
heard	1.7965274E-4
mother	1.795625E-4
taken	1.795625E-4
taking	1.7951739E-4
front	1.7888576E-4
wrong	1.7802855E-4
above	1.7757739E-4
interest	1.7690065E-4
thinking	1.7690065E-4
stock	1.764946E-4
child	1.7613368E-4
class	1.759532E-4
result	1.7559227E-4
sequences	1.7527647E-4
party	1.7514112E-4
food	1.75096E-4
include	1.7505088E-4
parents	1.7491553E-4
mm	1.7491553E-4
matter	1.7450949E-4
programs	1.7387787E-4
whatever	1.7378763E-4
gets	1.736974E-4
involved	1.7360716E-4
standard	1.7347181E-4
increased	1.7279507E-4
spike	1.7256949E-4
himself	1.7225368E-4
game	1.7225368E-4
morning	1.7216345E-4
de	1.7211832E-4
gonna	1.7193786E-4
growth	1.7180252E-4
month	1.714867E-4
tax	1.7112578E-4
drug	1.7067461E-4
officials	1.7022344E-4
lost	1.7017833E-4
common	1.7013322E-4
weeks	1.7013322E-4
addition	1.6990764E-4
woman	1.6986251E-4
west	1.6914067E-4
associated	1.6909554E-4
clear	1.6886996E-4
future	1.6837368E-4
social	1.6828346E-4
function	1.6814811E-4
hope	1.6805787E-4
coming	1.6801276E-4
turn	1.6801276E-4
compared	1.6796764E-4
questions	1.678774E-4
outside	1.6724577E-4
certain	1.6724577E-4
fun	1.6715555E-4
mind	1.6697508E-4
management	1.6683973E-4
friends	1.6656904E-4
art	1.6598252E-4
century	1.6422299E-4
average	1.6417788E-4
itself	1.6318532E-4
region	1.6318532E-4
effects	1.625537E-4
summer	1.6214764E-4
blood	1.6196718E-4
individual	1.6160625E-4
final	1.614709E-4
tv	1.6120021E-4
college	1.6106486E-4
third	1.6083928E-4
language	1.6070393E-4
knew	1.6047835E-4
disease	1.5939555E-4
difference	1.592151E-4
et	1.5916998E-4
friend	1.5885416E-4
understand	1.5880905E-4
ii	1.5804206E-4
cd	1.5799695E-4
anyway	1.5759091E-4
issues	1.5736533E-4
short	1.5691416E-4
gave	1.5614719E-4
stop	1.5587649E-4
cancer	1.5538021E-4
culture	1.5528998E-4
cut	1.5524487E-4
observed	1.5519976E-4
move	1.5519976E-4
computer	1.5506441E-4
needs	1.5506441E-4
congress	1.5488394E-4
list	1.5465835E-4
review	1.542072E-4
administration	1.539365E-4
special	1.5334999E-4
exactly	1.5334999E-4
behind	1.5280858E-4
except	1.5276347E-4
expected	1.5213185E-4
interview	1.519965E-4
july	1.519965E-4
required	1.5177092E-4
ones	1.517258E-4
potential	1.5163557E-4
methods	1.5136487E-4
face	1.5122953E-4
needed	1.5113929E-4
nyt	1.5113929E-4
community	1.5100394E-4
military	1.5073325E-4
god	1.5068812E-4
living	1.5046255E-4
particular	1.5041743E-4
body	1.503272E-4
international	1.503272E-4
identified	1.5028208E-4
film	1.500565E-4
wo	1.4937976E-4
showed	1.4915418E-4
values	1.4852255E-4
normal	1.4852255E-4
policy	1.483872E-4
economic	1.4807138E-4
campaign	1.4807138E-4
finally	1.4807138E-4
due	1.4789093E-4
themselves	1.4743976E-4
performance	1.4743976E-4
quality	1.4743976E-4
books	1.4730441E-4
therefore	1.4730441E-4
personal	1.472593E-4
rule	1.4676302E-4
period	1.4667278E-4
population	1.4631185E-4
wall	1.4626674E-4
heart	1.4595092E-4
building	1.4581557E-4
terms	1.4554488E-4
lower	1.4540953E-4
related	1.4522907E-4
main	1.4495837E-4
private	1.447779E-4
father	1.4401093E-4
slate	1.4383046E-4
added	1.4374024E-4
director	1.4333418E-4
points	1.4328907E-4
became	1.4324396E-4
action	1.4306349E-4
subject	1.4270256E-4
answer	1.4265745E-4
position	1.422514E-4
medical	1.4166489E-4
amount	1.4161978E-4
hear	1.4121372E-4
happy	1.4094303E-4
red	1.4067233E-4
wife	1.4049187E-4
church	1.4040164E-4
longer	1.4026629E-4
article	1.4022116E-4
students	1.3995047E-4
piece	1.3990536E-4
systems	1.3977001E-4
technology	1.3967977E-4
considered	1.391835E-4
works	1.3909326E-4
size	1.389128E-4
media	1.3877745E-4
leave	1.3859698E-4
press	1.3846163E-4
ask	1.3846163E-4
view	1.3841652E-4
performed	1.3837141E-4
near	1.3837141E-4
agency	1.3792024E-4
central	1.3792024E-4
inside	1.3764955E-4
east	1.3742397E-4
industry	1.3737885E-4
gone	1.3733373E-4
americans	1.3719838E-4
worked	1.3701792E-4
stories	1.3683745E-4
